loss\delay,10,30,50,70,100,150,200,250,300
0,1540.000,792.000,113.000,112.000,111.000,125.000,108.000,84.200,69.800
3,1280.000,114.000,112.000,111.000,106.000,65.000,46.100,36.500,28.600
5,1110.000,119.000,118.000,136.000,92.000,61.000,40.200,30.100,24.600
7,959.000,120.000,166.000,117.000,84.500,49.600,35.400,27.400,22.600
10,851.000,119.000,118.000,108.000,67.700,42.200,30.400,22.900,18.700
15,582.000,185.000,111.000,75.300,52.200,31.100,25.100,18.000,13.100
20,206.000,79.400,45.800,46.700,35.700,12.100,16.100,13.200,3.320
25,78.400,38.600,29.100,37.600,23.800,18.700,14.300,10.600,5.050
30,24.300,9.680,4.620,18.500,13.200,6.990,10.200,7.650,6.180
