loss\delay,10,30,50,70,100,150,200,250,300
0,1540.000,784.000,474.000,331.000,229.000,148.000,108.000,84.200,68.400
3,1240.000,429.000,230.000,161.000,103.000,65.100,46.800,33.200,27.300
5,1100.000,378.000,195.000,143.000,92.500,56.000,39.300,30.800,24.200
7,960.000,321.000,179.000,122.000,80.700,51.200,32.200,24.700,19.400
10,821.000,277.000,153.000,107.000,70.200,38.700,30.400,21.700,18.300
15,644.000,185.000,113.000,71.300,51.300,29.400,20.700,15.600,14.000
20,124.000,21.200,57.200,15.900,17.400,17.800,15.700,13.100,7.030
25,68.600,37.400,2.110,31.100,16.900,15.600,11.500,3.540,6.910
30,3.320,5.500,5.860,1.200,1.120,1.830,0.345,1.790,6.790
