loss\delay,10,30,50,70,100,150,200,250,300
0,1060.000,465.000,276.000,177.000,102.000,50.700,35.200,28.500,24.400
3,4.060,2.250,1.380,1.150,0.817,0.696,0.763,0.360,0.395
5,2.060,1.140,1.180,0.806,0.693,0.567,0.465,0.270,0.240
7,1.560,1.110,0.884,0.453,0.465,0.355,0.289,0.256,0.205
10,1.110,0.824,0.394,0.372,0.377,0.257,0.206,0.230,0.149
15,0.642,0.460,0.350,0.310,0.209,0.182,0.122,0.143,0.105
20,0.198,0.345,0.280,0.161,0.179,0.120,0.120,0.125,0.100
25,0.108,0.220,0.176,0.108,0.098,0.053,0.074,0.072,0.054
30,0.092,0.078,0.110,0.115,0.081,0.038,0.055,0.051,0.051
